PModel,Task,OpType,Opt,InsCount,Timer,TIme,LNum,AvTIme,AbsErr,RelErr,TaskPerf
AMD_FX(tm)-4300_Quad-Core_Processor,sin,d,O0,100000,std::clock(),0.000349,1,3.49e-09,1.03e-09,22.7876,25.4505
AMD_FX(tm)-4300_Quad-Core_Processor,cos,d,O0,100000,std::clock(),0.000347,1,3.47e-09,1.17e-09,25.2155,13.5046
AMD_FX(tm)-4300_Quad-Core_Processor,tan,d,O0,100000,std::clock(),0.000346,1,3.46e-09,8.8e-10,20.2765,9.15114
AMD_FX(tm)-4300_Quad-Core_Processor,sin,d,O1,100000,std::clock(),6.2e-05,1,6.2e-10,9.2e-10,59.7403,24.5646
AMD_FX(tm)-4300_Quad-Core_Processor,cos,d,O1,100000,std::clock(),6.1e-05,1,6.1e-10,6.8e-10,52.7132,12.6486
AMD_FX(tm)-4300_Quad-Core_Processor,tan,d,O1,100000,std::clock(),6.3e-05,1,6.3e-10,6.5e-10,50.7812,8.73378
AMD_FX(tm)-4300_Quad-Core_Processor,sin,d,O2,100000,std::clock(),2e-06,1,2e-11,1.8e-10,90,26.7073
AMD_FX(tm)-4300_Quad-Core_Processor,cos,d,O2,100000,std::clock(),1e-06,1,1e-11,1e-11,50,14.1593
AMD_FX(tm)-4300_Quad-Core_Processor,tan,d,O2,100000,std::clock(),1e-06,1,1e-11,1e-11,50,9.29213
AMD_FX(tm)-4300_Quad-Core_Processor,sin,d,O3,100000,std::clock(),2e-06,1,2e-11,8e-11,80,26.1575
AMD_FX(tm)-4300_Quad-Core_Processor,cos,d,O3,100000,std::clock(),1e-06,1,1e-11,6e-11,85.7143,13.2751
AMD_FX(tm)-4300_Quad-Core_Processor,tan,d,O3,100000,std::clock(),1e-06,1,1e-11,1e-11,50,9.08455
AMD_FX(tm)-4300_Quad-Core_Processor,sin,f,O0,100000,std::clock(),0.002175,1,2.175e-08,3.86e-09,21.5763,23.5538
AMD_FX(tm)-4300_Quad-Core_Processor,cos,f,O0,100000,std::clock(),0.001919,1,1.919e-08,9.78e-09,33.7591,11.8195
AMD_FX(tm)-4300_Quad-Core_Processor,tan,f,O0,100000,std::clock(),0.003241,1,3.241e-08,1.548e-08,32.3241,7.82069
AMD_FX(tm)-4300_Quad-Core_Processor,sin,f,O1,100000,std::clock(),0.000118,1,1.18e-09,1.222e-08,91.194,24.2524
AMD_FX(tm)-4300_Quad-Core_Processor,cos,f,O1,100000,std::clock(),0.000119,1,1.19e-09,9.91e-09,89.2793,12.9379
AMD_FX(tm)-4300_Quad-Core_Processor,tan,f,O1,100000,std::clock(),0.000283,1,2.83e-09,1.067e-08,79.037,8.5365
AMD_FX(tm)-4300_Quad-Core_Processor,sin,f,O2,100000,std::clock(),2e-06,1,2e-11,1.7e-10,89.4737,25.9041
AMD_FX(tm)-4300_Quad-Core_Processor,cos,f,O2,100000,std::clock(),1e-06,1,1e-11,1.9e-10,95,12.6924
AMD_FX(tm)-4300_Quad-Core_Processor,tan,f,O2,100000,std::clock(),1e-06,1,1e-11,5e-11,83.3333,8.67077
AMD_FX(tm)-4300_Quad-Core_Processor,sin,f,O3,100000,std::clock(),2e-06,1,2e-11,1.8e-10,90,26.2247
AMD_FX(tm)-4300_Quad-Core_Processor,cos,f,O3,100000,std::clock(),1e-06,1,1e-11,7e-11,87.5,13.5342
AMD_FX(tm)-4300_Quad-Core_Processor,tan,f,O3,100000,std::clock(),1e-06,1,1e-11,1e-11,50,9.16296
AMD_FX(tm)-4300_Quad-Core_Processor,sin,i,O0,100000,std::clock(),0.001867,1,1.867e-08,1.56e-09,7.71132,24.401
AMD_FX(tm)-4300_Quad-Core_Processor,cos,i,O0,100000,std::clock(),0.001685,1,1.685e-08,1.6e-10,0.940623,12.3603
AMD_FX(tm)-4300_Quad-Core_Processor,tan,i,O0,100000,std::clock(),0.002099,1,2.099e-08,2.15e-09,9.29127,8.35527
AMD_FX(tm)-4300_Quad-Core_Processor,sin,i,O1,100000,std::clock(),0.000116,1,1.16e-09,3.3e-10,22.1477,27.0739
AMD_FX(tm)-4300_Quad-Core_Processor,cos,i,O1,100000,std::clock(),0.000115,1,1.15e-09,2.3e-10,25,14.2527
AMD_FX(tm)-4300_Quad-Core_Processor,tan,i,O1,100000,std::clock(),0.000133,1,1.33e-09,1.1e-10,7.63889,9.36996
AMD_FX(tm)-4300_Quad-Core_Processor,sin,i,O2,100000,std::clock(),1e-06,1,1e-11,5e-10,98.0392,25.5984
AMD_FX(tm)-4300_Quad-Core_Processor,cos,i,O2,100000,std::clock(),1e-06,1,1e-11,1.9e-10,95,13.0712
AMD_FX(tm)-4300_Quad-Core_Processor,tan,i,O2,100000,std::clock(),1e-06,1,1e-11,1.9e-10,95,8.81267
AMD_FX(tm)-4300_Quad-Core_Processor,sin,i,O3,100000,std::clock(),1e-06,1,1e-11,1e-11,50,25.0689
